2025-08-13 14:07:11 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=tres mecontent, fusion=neutre
2025-08-13 14:07:11 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:07:11 - sentiment_dashboard - INFO - Sentiment Client: text=content, acoustic=neutre, fusion=neutre
2025-08-13 14:07:11 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=aggressive, fusion=courtois
2025-08-13 14:07:11 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:07:11 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=sec, fusion=courtois
2025-08-13 14:07:11 - sentiment_dashboard - INFO - Sentiment Client: text=content, acoustic=neutre, fusion=neutre
2025-08-13 14:07:29 - sentiment_dashboard - INFO - Processing audio: tmpj0xuny86.wav, duration=25.0s, sample_rate=8000Hz
2025-08-13 14:07:32 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:07:32 - sentiment_dashboard - INFO - Sentiment Client: text=tres mecontent, acoustic=tres mecontent, fusion=tres mecontent
2025-08-13 14:07:54 - sentiment_dashboard - INFO - Processing audio: tmp8q51vwl7.wav, duration=25.0s, sample_rate=8000Hz
2025-08-13 14:07:56 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:07:56 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:08:24 - sentiment_dashboard - INFO - Processing audio: tmpblx7kpkv.wav, duration=25.0s, sample_rate=8000Hz
2025-08-13 14:08:26 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
2025-08-13 14:08:26 - sentiment_dashboard - INFO - Sentiment Client: text=neutre, acoustic=neutre, fusion=neutre
2025-08-13 14:10:24 - sentiment_dashboard - INFO - Processing audio: 01670387a8e36076.ogg, duration=442.2s, sample_rate=8000Hz
2025-08-13 14:10:24 - sentiment_dashboard - INFO - Processing audio: 01670387a8e36076.ogg, duration=442.2s, sample_rate=8000Hz
2025-08-13 14:10:33 - sentiment_dashboard - INFO - Sentiment Agent: text=courtois, acoustic=courtois, fusion=courtois
